"title","genres","revenue","release_date","prev_revenue","revenue_growth"
"Enter the Dragon","Action","21485066","1973-08-17","",""
"Sholay","Action","4800000","1975-08-15","21485066","-16685066"
"Project 4K77 - fan remake of original star wars","Action","775398507","1977-05-25","4800000","770598507"
"Good Guys Wear Black","Action","18300000","1978-06-01","775398507","-757098507"
"The Wild Geese","Action","9884149","1978-06-28","18300000","-8415851"
"A Woman's Revenge","Action","100000","1979-08-10","9884149","-9784149"
"Püsküllü Bela","Action","100000","1979-12-31","100000","0"
"The Thundering Mantis","Action","25309","1980-01-03","100000","-74691"
"North Sea Hijack","Action","2993772","1980-02-18","25309","2968463"
"Project 4K80 - the empire strikes back","Action","549001086","1980-05-21","2993772","546007314"
"The Spy in the Palace","Action","43569","1981-10-15","549001086","-548957517"
"Shaolin Temple","Action","16157801","1982-01-21","43569","16114232"
"The Last Hero","Action","14","1982-12-18","16157801","-16157787"
"Fredy el croupier","Action","211160","1982-12-31","14","211146"
"Forklift Drivers from Hell","Action","100","1984-01-31","211160","-211060"
"The Young Hero of Shaolin","Action","567107","1984-03-15","100","567007"
"Return of Bastard Swordsman","Action","285437","1984-05-08","567107","-281670"
"Consummate Power","Action","309703","1984-05-12","285437","24266"
"Streets of Fire","Action","8089290","1984-06-01","309703","7779587"
"Code Name: Wild Geese","Action","600000","1984-10-05","8089290","-7489290"
"太极拳","Action","100","1985-01-01","600000","-599900"
"American Ninja","Action","10499694","1985-08-30","100","10499594"
"Iron Eagle","Action","24159872","1986-01-17","10499694","13660178"
"No Retreat, No Surrender","Action","4662137","1986-05-02","24159872","-19497735"
"Steele Justice","Action","1327740","1987-05-08","4662137","-3334397"
"No Retreat, No Surrender 2: Raging Thunder","Action","108154","1987-11-05","1327740","-1219586"
"Al Sharabiya","Action","31000","1987-11-16","108154","-77154"
"American Revenge","Action","100000","1988-11-13","31000","69000"
"Crazy Dragon from the East","Action","100","1989-01-01","100000","-99900"
"Aces Go Places V: The Terracotta Hit","Action","2552034","1989-01-28","100","2551934"
