"title","genres","revenue","release_date","next_movie_revenue"
"Enter the Dragon","Action","21485066","1973-08-17","4800000"
"Sholay","Action","4800000","1975-08-15","775398507"
"Project 4K77 - fan remake of original star wars","Action","775398507","1977-05-25","18300000"
"Good Guys Wear Black","Action","18300000","1978-06-01","9884149"
"The Wild Geese","Action","9884149","1978-06-28","100000"
"A Woman's Revenge","Action","100000","1979-08-10","100000"
"Püsküllü Bela","Action","100000","1979-12-31","25309"
"The Thundering Mantis","Action","25309","1980-01-03","2993772"
"North Sea Hijack","Action","2993772","1980-02-18","549001086"
"Project 4K80 - the empire strikes back","Action","549001086","1980-05-21","43569"
"The Spy in the Palace","Action","43569","1981-10-15","16157801"
"Shaolin Temple","Action","16157801","1982-01-21","14"
"The Last Hero","Action","14","1982-12-18","211160"
"Fredy el croupier","Action","211160","1982-12-31","100"
"Forklift Drivers from Hell","Action","100","1984-01-31","567107"
"The Young Hero of Shaolin","Action","567107","1984-03-15","285437"
"Return of Bastard Swordsman","Action","285437","1984-05-08","309703"
"Consummate Power","Action","309703","1984-05-12","8089290"
"Streets of Fire","Action","8089290","1984-06-01","600000"
"Code Name: Wild Geese","Action","600000","1984-10-05","100"
"太极拳","Action","100","1985-01-01","10499694"
"American Ninja","Action","10499694","1985-08-30","24159872"
"Iron Eagle","Action","24159872","1986-01-17","4662137"
"No Retreat, No Surrender","Action","4662137","1986-05-02","1327740"
"Steele Justice","Action","1327740","1987-05-08","108154"
"No Retreat, No Surrender 2: Raging Thunder","Action","108154","1987-11-05","31000"
"Al Sharabiya","Action","31000","1987-11-16","100000"
"American Revenge","Action","100000","1988-11-13","100"
"Crazy Dragon from the East","Action","100","1989-01-01","2552034"
"Aces Go Places V: The Terracotta Hit","Action","2552034","1989-01-28","1700000"
