"title","original_language","popularity","popularity_rank","avg_popularity_per_language","popularity_diff_from_avg"
"Arho – The Afar Salt Trade of Northeastern Ethiopia","aa","0.6","1","0.60","0.00"
"Afghan Dreamers","ab","1.442","1","0.56","0.88"
"More Than Life At Stake Part Two","ab","1.4","2","0.56","0.84"
"More Than Life At Stake Part Four","ab","1.4","2","0.56","0.84"
"Crazy taxi","ab","1.342","3","0.56","0.78"
",.;!","ab","1.25","4","0.56","0.69"
"The Majnoun and the Wind","ab","1.128","5","0.56","0.57"
"The Last Adventure","ab","1.092","6","0.56","0.53"
"Czas może powrócić","ab","1.001","7","0.56","0.44"
"Earthworm","ab","0.919","8","0.56","0.36"
"Wawelski convuntus dowódców","ab","0.9","9","0.56","0.34"
"Lee Ritenour & Dave Grusin: Montreux Jazz Festival","ab","0.849","10","0.56","0.29"
"Seduction 2","ab","0.84","11","0.56","0.28"
"Something Strange in Strangetown","ab","0.7643","12","0.56","0.21"
"Un altro me","ab","0.73","13","0.56","0.17"
"The lamb","ab","0.673","14","0.56","0.12"
"Liczę na wasze grzechy","ab","0.655","15","0.56","0.10"
"Christmas the Wright Way","ab","0.618","16","0.56","0.06"
"Death Code: Ninja","ab","0.608","17","0.56","0.05"
"Pitch Black","ab","0.6","18","0.56","0.04"
"An Exercise In Terror: The Making Of 'Death Spa'","ab","0.6","18","0.56","0.04"
"One Day in the Life of a Men's Monastery","ab","0.6","18","0.56","0.04"
"My Name Is Makhaz","ab","0.6","18","0.56","0.04"
"aa","ab","0.6","18","0.56","0.04"
"Escape With Romeo - Document","ab","0.6","18","0.56","0.04"
"Sofichka","ab","0.6","18","0.56","0.04"
"Voix Libre","ab","0.6","18","0.56","0.04"
"200 Australians","ab","0.6","18","0.56","0.04"
"Zafar","ab","0.6","18","0.56","0.04"
"I’ve Been Here All Day","ab","0.6","18","0.56","0.04"
"Burning Hot Desire","ab","0.6","18","0.56","0.04"
"Nineteen Video Magazine 32","ab","0.6","18","0.56","0.04"
"Niall Horan: Live With The Rte Concert Orchestra","ab","0.6","18","0.56","0.04"
"H","ab","0.6","18","0.56","0.04"
"The Royal Nightmare","ab","0.6","18","0.56","0.04"
"Cumming Vibrator Agony 5! Practicing Aikido For 15-Years Air-Throwing Beautiful Girl Squirts And Gets FUCKED By A Black Cock!","ab","0.6","18","0.56","0.04"
"My AI Lover","ab","0.6","18","0.56","0.04"
"The Time It Takes","ab","0.6","18","0.56","0.04"
"Mord oder Watt? Ebbe im Herzen","ab","0.6","18","0.56","0.04"
"Moja Warszawa","ab","0.6","18","0.56","0.04"
