"title","revenue","budget","profit"
"In the Virtual End (Linkin Park HL2 music video)","4999999999","1","4999999998"
"babben: the movie","4999999999","100","4999999899"
"Juliet and Romeo - 1231 ☆*: .｡. o(≧▽≦)o .｡.:*☆ UwU","4999999999","1","4999999998"
"Macbeth's Ambition","3477779998","10000000","3467779998"
"TikTok Rizz Party","3000000000","250000000","2750000000"
"Adventures in Bora Bora","3000000000","800000000","2200000000"
"Bee Movie","2930000000","150000000","2780000000"
"Avatar","2923706026","237000000","2686706026"
"M4's The Hobbit Book Edit","2914620020","700000000","2214620020"
"Avengers: Endgame","2800000000","356000000","2444000000"
