"title","budget","revenue","profit_pct"
"1 (866) 994 3657 ✦ Unsubscribe from Hulu >> One Quick Fix to Quit","10008524","1045887788","10349.97"
"E.T. the Extra-Terrestrial","10500000","792965500","7452.05"
"Project 4K77 - fan remake of original star wars","11000000","775398507","6949.08"
"Star Wars","11000000","775398007","6949.07"
"Project 4K80 - the empire strikes back","11000000","549001086","4890.92"
"Dragon Ball Z Kai: The Final Chapters","10500000","495400000","4618.10"
"Ne Zha","20000000","742500000","3612.50"
"The Legend of Nezha","20000000","742500000","3612.50"
"The Exorcist","12000000","441405644","3578.38"
"Pretty Woman","14000000","463406268","3210.04"
