"title","budget","revenue","profit_pct"
"Macbeth's Ambition","10000000","3477779998","34677.80"
"Michael Jackson's: Black or White","4000000","670000000","16650.00"
"ere","1209097","200202022","16457.98"
"A bolha","7000000","1000000000","14185.71"
"Snow White and the Seven Dwarfs","1488423","184925486","12324.26"
"1 (866) 994 3657 ✦ Unsubscribe from Hulu >> One Quick Fix to Quit","10008524","1045887788","10349.97"
"Gone with the Wind","4000000","402352579","9958.81"
"The Fool's Trial: A Solar Odyssey","1303000","130300000","9900.00"
"Lost in Thailand","2200000","208000000","9354.55"
"The Rocky Horror Picture Show","1200000","112892319","9307.69"
