"title","genres","revenue","revenue_rank"
"Chelsea FC vs Paris Saint-Germain FC","Action","1000000000","1"
"worm movie","Action","1000000000","1"
"Project 4K77 - fan remake of original star wars","Action","775398507","3"
"Project 4K80 - the empire strikes back","Action","549001086","4"
"Fallout","Action","200000000","5"
"Ted: Annihilation","Action","183000000","6"
"True Soldier 2","Action","120000000","7"
"Rodel Sta. Cruz: Halang Ang Bituka","Action","100000000","8"
"‘Wag Na ‘Wag Kang Lalayo","Action","100000000","8"
"True Soldier: Killzone","Action","98000000","10"
"True Soldier","Action","67000000","11"
"Sudden Death","Action","64350171","12"
"On Deadly Ground","Action","49000000","13"
"On Deadly Ground","Action","49000000","13"
"Hard to Kill","Action","47410000","15"
"Torque","Action","46546197","16"
"Anthony Joshua vs. Carlos Takam","Action","34134173","17"
"Blown Away","Action","30156002","18"
"Once Upon a Time in China III","Action","27540561","19"
"Flight Crew","Action","27305571","20"
