"title","genres","revenue","budget","revenue_rank_in_genres","avg_revenue_in_genres","gap_from_above"
"worm movie","Action","1000000000","100000","1","31385033",""
"Project 4K77 - fan remake of original star wars","Action","775398507","11000000","2","31385033","-224601493"
"Project 4K80 - the empire strikes back","Action","549001086","11000000","3","31385033","-226397421"
"Fallout","Action","200000000","153000000","4","31385033","-349001086"
"Rodel Sta. Cruz: Halang Ang Bituka","Action","100000000","10000000","5","31385033","-100000000"
"‘Wag Na ‘Wag Kang Lalayo","Action","100000000","1000000","5","31385033","0"
"Sudden Death","Action","64350171","35000000","6","31385033","-35649829"
"On Deadly Ground","Action","49000000","50000000","7","31385033","-15350171"
"On Deadly Ground","Action","49000000","50000000","7","31385033","0"
"Hard to Kill","Action","47410000","10000000","8","31385033","-1590000"
"Torque","Action","46546197","40000000","9","31385033","-863803"
"Anthony Joshua vs. Carlos Takam","Action","34134173","5000000","10","31385033","-12412024"
"Blown Away","Action","30156002","28000000","11","31385033","-3978171"
"Flight Crew","Action","27305571","10000000","12","31385033","-2850431"
"Lionheart","Action","24271196","6000000","13","31385033","-3034375"
"Iron Eagle","Action","24159872","18000000","14","31385033","-111324"
"Alatriste","Action","23321954","24000000","15","31385033","-837918"
"The Marksman","Action","23076711","23000000","16","31385033","-245243"
"The Marine","Action","22165608","20000000","17","31385033","-911103"
"Enter the Dragon","Action","21485066","10000000","18","31385033","-680542"
"The Man with the Iron Fists","Action","20546518","15000000","19","31385033","-938548"
"Good Guys Wear Black","Action","18300000","1000000","20","31385033","-2246518"
"Jilla","Action","18000000","8000000","21","31385033","-300000"
"Fled","Action","17193231","25000000","22","31385033","-806769"
"Terminal Velocity","Action","16478900","50000000","23","31385033","-714331"
"Miss Bala","Action","15200000","15000000","24","31385033","-1278900"
"The Corruptor","Action","15156200","25000000","25","31385033","-43800"
"Super Vixens 4","Action","15000000","100000","26","31385033","-156200"
"Super Vixens 2","Action","14500000","100000","27","31385033","-500000"
"Bastille Day","Action","14397593","20000000","28","31385033","-102407"
