title,revenue,budget,profit,release_year
Avatar,2923706026.0,237000000.0,2686706026.0,2009
Avengers: Endgame,2800000000.0,356000000.0,2444000000.0,2019
Avatar: The Way of Water,2320250281.0,460000000.0,1860250281.0,2022
Titanic,2264162353.0,200000000.0,2064162353.0,1997
Star Wars: The Force Awakens,2068223624.0,245000000.0,1823223624.0,2015
Avengers: Infinity War,2052415039.0,300000000.0,1752415039.0,2018
Spider-Man: No Way Home,1921847111.0,200000000.0,1721847111.0,2021
Jurassic World,1671537444.0,150000000.0,1521537444.0,2015
The Lion King,1663075401.0,260000000.0,1403075401.0,2019
The Avengers,1518815515.0,220000000.0,1298815515.0,2012
