title,budget,revenue,roi,release_year
Paranormal Activity,215000.0,193355800.0,899.3293,2007
Secret Superstar,286284.0,137416709.0,480.0014,2017
The Gallows,100000.0,42964410.0,429.6441,2015
Open Water,130000.0,54667954.0,420.5227,2003
Bambi,858000.0,267447150.0,311.71,1942
Mad Max,350000.0,100000000.0,285.7143,1979
Night of the Living Dead,114000.0,30000000.0,263.1579,1968
Rocky,1000000.0,225250402.0,225.2504,1976
Halloween,325000.0,70274000.0,216.2277,1978
The Way of the Dragon,130000.0,27000000.0,207.6923,1972
