release_year,movie_count,avg_revenue,avg_budget
1888,5,,
1889,2,,
1890,12,,
1891,17,,
1892,11,,
1893,7,,
1894,70,,
1895,59,,
1896,497,,
1897,610,,
1898,444,,
1899,327,,
1900,441,,
1901,290,,
1902,242,,
1903,364,,
1904,304,,
1905,307,,
1906,342,,
1907,346,,
1908,493,,
1909,558,,
1910,852,,
1911,1085,,
1912,1495,,
1913,1565,,
1914,1604,,
1915,1657,11000000.0,100000.0
1916,1671,1750000.0,385907.0
1917,1599,,
1918,1444,,
1919,1468,,
1920,1530,8811.0,18000.0
1921,1436,2500000.0,250000.0
1922,1366,,
1923,1293,1500000.0,121000.0
1924,1395,882623.0,900628.5
1925,1535,4000000.0,923000.0
1926,1700,1000000.0,750000.0
1927,1711,2125211.0,1650000.0
1928,1698,2600000.0,422000.0
1929,1751,4358000.0,379000.0
1930,1918,3270000.0,1448864.0
1931,1814,2991714.285714286,649428.5714285715
1932,1844,2594000.0,700000.0
1933,1859,3440333.3333333335,544833.3333333334
1934,1938,1989750.0,291788.25
1935,1994,3220666.6666666665,984250.0
1936,2052,1909840.0,847675.0
1937,2102,93962743.0,1044211.5
1938,2100,5707050.5,1838868.0
1939,1961,51474244.777777776,1853708.2222222222
1940,1888,23431535.5,1598625.0
1941,1901,7006485.625,902840.875
1942,1902,48116191.666666664,804737.1666666666
1943,1757,9820833.333333334,1577666.6666666667
1944,1589,3266500.0,1311205.75
1945,1557,5440928.571428572,1269857.142857143
1946,1615,44248193.09090909,11530727.272727273
1947,1680,3492087.0,1868142.857142857
1948,1876,3801299.8571428573,1853714.2857142857
1949,2105,5440142.857142857,2123000.0
1950,2198,47797997.166666664,1458666.6666666667
1951,2330,12440888.888888888,2812228.0
1952,2265,10125125.0,2040100.0
1953,2422,18347677.615384616,1868692.3076923077
1954,2536,12946309.111111112,2274307.777777778
1955,2569,6235022.6875,1639000.0
1956,2713,19031518.70588235,3203058.8235294116
1957,2865,8357149.333333333,1724444.4444444445
1958,3015,5757318.111111111,1736692.7777777778
1959,3057,31412500.0,4382384.8
1960,3214,15491132.785714285,3476924.785714286
1961,3331,14808801.8125,3248562.5
1962,3442,30003598.692307692,8293384.615384615
1963,3420,22933095.4375,6179531.25
1964,3756,25876117.733333334,4254533.333333333
1965,4002,64015784.6,8320000.0
1966,4169,14029689.57142857,4301869.928571428
1967,4566,43969641.78947368,5041315.7894736845
1968,4790,21054584.714285713,5520523.80952381
1969,4991,37634995.3,7484408.7
1970,5221,37660692.11111111,8449552.555555556
1971,5246,24705204.38095238,3540571.4285714286
1972,5450,40223600.75,2269462.7
1973,5381,55646984.0,4013132.523809524
1974,5455,47291313.05,4143750.0
1975,5442,43652539.347826086,3210103.0434782607
1976,5634,43358028.13636363,5788762.7727272725
1977,5363,83611635.3076923,7853653.846153846
1978,5779,54498906.86666667,8928500.0
1979,5940,54720247.333333336,11198702.666666666
1980,5905,51522632.2,11491111.111111112
1981,5757,41607634.22,10306881.24
1982,6081,61203122.19565217,12599800.0
1983,6185,51215279.16981132,11823528.301886793
1984,6427,42284891.833333336,12404347.93939394
1985,6710,43931198.13513514,12900270.486486487
1986,6815,40952842.25609756,12449939.024390243
1987,7171,47639989.833333336,14040384.615384616
1988,7296,47977687.07865169,14016067.415730337
1989,7806,66883766.43373494,15839167.951807229
1990,7711,76891507.41558442,21892139.0
1991,7817,61860830.53488372,21239055.325581394
1992,7816,68805450.35555555,20737175.433333334
1993,7639,64191749.911504425,21858445.097345132
1994,7665,82928564.50537634,27073415.215053763
1995,8013,75487709.47826087,28486521.739130434
1996,7842,72847980.62809917,31243172.02479339
1997,8330,101584533.34126984,38536827.93650793
1998,8556,81572408.78832117,35856261.240875915
1999,9211,89088196.72972973,40379481.72972973
2000,9504,89600659.62142856,38975085.71428572
2001,10655,92127997.86503068,38498483.42944785
2002,11920,94136353.29651164,36789795.28488372
2003,13426,103629048.43030304,39395887.96363636
2004,15011,97651062.44919786,38098002.53475936
2005,16658,87982228.58080809,36633090.85858586
2006,18671,83114350.58666667,34718251.14666667
2007,19453,87686889.44915254,33669857.288135596
2008,20192,95324733.4159292,36343962.14159292
2009,21213,98577003.4796748,35075850.87804878
2010,22058,102708770.97854078,38321112.47639485
2011,23732,104183922.91836734,37021120.0
2012,25850,118886244.2117117,38300910.03603604
2013,28399,109830618.800813,37211562.30081301
2014,30319,117521464.94491525,35823746.76271187
2015,31992,120340619.85042734,34992169.93589743
2016,33611,116843165.24521072,38131982.14942529
2017,37381,132742170.35930736,37002455.34199134
2018,39795,134834159.8883721,36800112.744186044
2019,43804,144194188.5940594,39098259.21287129
2020,43114,52666318.47191011,34859791.91011236
2021,46601,103527074.4516129,52014027.37903226
2022,48448,138884986.40495867,51231161.82644628
2023,49947,197474525.25,74729400.375
2024,40330,,
2025,38234,,
2026,5819,,
2027,174,,
2028,55,,
